Accession,Release_Date,Species,Nuc_Completeness,Protein,Geo_Location,USA,Host,Isolation_Source,Collection_Date
QPF51431,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51432,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51433,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51434,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51435,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51436,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51437,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51438,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51439,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51440,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51441,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51442,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51443,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51444,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51445,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51446,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51447,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51448,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51449,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51450,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51451,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51452,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51453,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51454,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51455,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51456,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51457,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51458,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51459,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51460,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51461,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51462,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51463,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51464,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51465,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51466,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51467,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-18
QPF51468,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51469,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51470,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51471,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51472,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51473,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51474,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51475,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51476,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51477,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51478,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51479,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51480,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51481,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51482,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51483,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51484,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51485,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51486,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51487,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51488,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51489,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51490,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51491,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51492,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51493,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51494,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51495,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51496,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51497,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51498,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51499,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51500,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51501,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51502,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51503,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51504,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51505,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51506,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51507,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51508,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51509,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51510,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51511,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51512,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51513,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51514,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51515,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51516,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51517,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51518,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51519,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51520,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51521,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51522,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51523,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51524,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51525,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51526,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51527,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51528,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51529,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51530,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51531,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51532,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51533,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51534,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51535,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51536,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51537,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51538,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51539,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51540,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51541,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51542,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51543,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51544,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51545,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51546,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51547,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51548,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51549,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51550,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51551,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51552,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51553,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51554,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51555,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51556,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51557,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51558,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51559,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51560,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51561,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51562,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51563,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51564,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51565,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51566,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51567,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51568,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51569,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51570,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51571,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51572,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51573,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51574,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51575,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51576,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1ab polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51577,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF1a polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51578,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,surface glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51579,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF3a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51580,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,envelope protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51581,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,membrane glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51582,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF6 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51583,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51584,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF7b protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51585,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF8 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51586,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,nucleocapsid phosphoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51587,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,partial,ORF10 protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51588,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51589,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51590,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51591,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51592,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
QPF51593,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,"USA: CA, Orange County",CA,Homo sapiens,,2020-08-19
